state-code,urban-percentage,rural-percentage,p-value
00,59.60095185407026,80.49274855253414,0.33240738789033075
01,41.281389427252726,54.246700175449,0.5689967277343171
02,62.067207705445625,84.10767399875326,0.27958068859592794
03,42.76410774500137,59.16108401014011,0.5236891340259475
04,44.644939544589704,59.56331275223346,0.5920836332028827
05,69.74671223721346,88.13078783803333,0.2638684557722577
06,67.54370538321031,83.29709833071047,0.27079068263655987
07,58.95569396573344,76.44317276072566,0.39906995838486314
08,81.07611500059977,91.75340393789931,0.2366008673570947
09,73.13025042800815,92.97058438018725,0.2171387500297831
10,75.91831819245695,84.91440289059399,0.316181670500719
11,25.269895427730532,39.993304142897465,0.8288549720438244
12,28.385885199877748,38.23237599380321,0.8679294567952576
13,25.708536059940524,42.769208034465905,0.7477930060072066
14,48.36181328627568,52.61876496309926,0.7457949238509403
15,67.38309567991381,76.55104817912776,0.33264603755210753
16,71.93206532196582,63.17956662281969,0.5840667086626801
17,41.45234696448065,80.02487097496498,0.34742927151913894
18,39.09952434238436,56.04937868172958,0.5569001503327622
19,72.30515778330474,88.79344139621959,0.35635272778447113
20,62.027658680552186,72.10803975705838,0.39608668117281787
21,45.83356178544463,71.31475038919878,0.4679623553712977
22,78.28262540302838,89.31652811834948,0.3034762297935386
23,77.68081814084672,89.85993486284065,0.2617006026778432
24,43.89607910761057,67.00253921293651,0.4294518764772717
25,51.9663551197423,52.316378568117095,0.6387742931409097
26,44.798405927955415,39.74682438262503,0.8649336987406011
27,34.98165098493437,60.39599926402064,0.4904343459936864
28,62.00831529736534,80.72728179855179,0.3591470550018321
29,42.81654224280899,71.33001693251295,0.42873022557348406
30,21.33888537230347,25.173318156855423,0.7214047821843965
31,70.1064928872288,75.19977370765858,0.38691627151461017
32,72.70200062428907,78.17273462771594,0.38153786722509153
33,64.70000950814263,78.26885281304467,0.3651525371087446
34,63.493414857526155,79.50885627530364,0.3931570062031351
35,26.945110392506688,35.637070685342884,0.7208455633648518
