state-code,urban-percentage,rural-percentage,p-value
00,26.974288471183012,15.263288902255665,0.33240738789033075
01,34.32487427335445,31.933408431652843,0.5689967277343171
02,28.279345641287808,11.345455428631569,0.27958068859592794
03,22.62686762932264,16.445332247244497,0.5236891340259475
04,24.411203954566137,25.421682591148976,0.5920836332028827
05,26.40946985870376,10.865780847792951,0.2638684557722577
06,25.58458095319632,13.292914643142717,0.27079068263655987
07,32.78010329222509,22.250514268259504,0.39906995838486314
08,16.593746453047366,7.063095413406106,0.2366008673570947
09,23.908036718590555,6.213120088287924,0.2171387500297831
10,20.51053511068534,13.718197971276947,0.316181670500719
11,33.561447603172326,34.147558309755595,0.8288549720438244
12,31.901036333101217,34.336498624289405,0.8679294567952576
13,33.78204656669574,35.47745848063567,0.7477930060072066
14,22.77840782397495,28.77836805761659,0.7457949238509403
15,26.521981702464796,20.000951592490033,0.33264603755210753
16,19.00831345890023,32.71077514761486,0.5840667086626801
17,33.08321437568226,14.775627793925967,0.34742927151913894
18,29.455419545840417,32.8737785761752,0.5569001503327622
19,20.074693563764924,10.138623970144435,0.35635272778447113
20,29.642177212553893,24.17134845306577,0.39608668117281787
21,23.265248892863955,19.07412297234457,0.4679623553712977
22,17.925610852320702,9.67651863444649,0.3034762297935386
23,18.855127992085468,9.069353958197784,0.2617006026778432
24,34.5880337616313,24.26040310758366,0.4294518764772717
25,33.38073075892393,34.753957215709654,0.6387742931409097
26,35.36411469846508,38.59562895245585,0.8649336987406011
27,38.1544731786266,29.738239966376025,0.4904343459936864
28,23.877600523759195,15.082795051150159,0.3591470550018321
29,32.70216044536091,23.20368109015012,0.42873022557348406
30,25.787206637744898,27.379465717895137,0.7214047821843965
31,14.050703329889533,10.607453503995474,0.38691627151461017
32,15.823393218142337,14.041033968314022,0.38153786722509153
33,29.920174560334324,20.203682071169734,0.3651525371087446
34,28.692364612027166,19.21862348178138,0.3931570062031351
35,48.960888715432645,48.27810184189327,0.7208455633648518
